"row","stratum","id","book.value","audit.value"
"1",3,0,531678,531678
"2",2,1,480499,480499
"3",3,2,183370,183370
"4",3,3,547531,547531
"5",1,4,558986,0
"6",2,5,495452,0
"7",3,6,169773,169773
"8",2,7,240451,240451
"9",2,8,598190,0
"10",3,9,409639,409639
"11",2,10,122785,122785
"12",3,11,375127,375127
"13",2,12,630187,630187
"14",1,13,398662,398662
"15",3,14,224370,224370
"16",1,15,230125,230125
"17",1,16,543580,543580
"18",1,17,450735,450735
"19",3,18,499797,499797
"20",3,19,185809,185809
"21",3,20,415470,415470
"22",2,21,308377,308377
"23",3,22,414409,414409
"24",2,23,306272,306272
"25",3,24,569594,569594
"26",2,25,434229,434229
"27",2,26,486868,486868
"28",1,27,312349,0
"29",1,28,297919,0
"30",3,29,528771,528771
"31",3,30,127803,127803
"32",3,31,379674,379674
"33",3,32,265901,0
"34",1,33,203025,203025
"35",2,34,487876,487876
"36",3,35,628884,628884
"37",1,36,526891,526891
"38",1,37,637474,0
"39",1,38,377383,377383
"40",1,39,135154,135154
"41",2,40,275436,275436
"42",2,41,499458,0
"43",2,42,274633,274633
"44",1,43,15050,15050
"45",1,44,372895,0
"46",1,45,113144,0
"47",2,46,554725,0
"48",1,47,455093,455093
"49",3,48,29205,29205
"50",1,49,220598,220598
"51",2,50,539800,539800
"52",3,51,276701,276701
"53",1,52,267396,267396
"54",2,53,108586,108586
"55",1,54,364500,364500
"56",1,55,334726,0
"57",3,56,25514,25514
"58",3,57,638679,638679
"59",2,58,20102,20102
"60",2,59,650125,650125
"61",1,60,27865,27865
"62",2,61,497633,497633
"63",1,62,25808,0
"64",3,63,202836,202836
"65",2,64,53891,53891
"66",3,65,522968,0
"67",3,66,13932,13932
"68",3,67,140395,140395
"69",2,68,572423,0
"70",3,69,342176,342176
"71",2,70,497141,497141
"72",3,71,632846,0
"73",1,72,421884,421884
"74",2,73,154691,0
"75",1,74,453472,453472
"76",2,75,49324,49324
"77",2,76,359841,359841
"78",2,77,100497,100497
"79",1,78,520555,520555
"80",1,79,59320,59320
"81",3,80,431703,431703
"82",2,81,454036,454036
"83",3,82,257497,257497
"84",1,83,104214,104214
"85",2,84,372232,372232
"86",3,85,381601,0
"87",3,86,63795,63795
"88",3,87,556697,556697
"89",1,88,480232,480232
"90",1,89,368485,368485
"91",2,90,307035,307035
"92",2,91,416025,416025
"93",2,92,349517,349517
"94",1,93,202225,202225
"95",1,94,481559,0
"96",3,95,626783,626783
"97",1,96,42220,42220
"98",2,97,536642,536642
"99",2,98,403223,403223
"100",2,99,463994,463994
"101",1,100,311009,311009
"102",2,101,338106,338106
"103",3,102,592004,592004
"104",2,103,543826,543826
"105",3,104,146045,146045
"106",3,105,223817,223817
"107",2,106,647570,0
"108",2,107,560943,560943
"109",1,108,342100,342100
"110",3,109,174190,174190
"111",1,110,305316,0
"112",1,111,218052,0
"113",3,112,25778,25778
"114",3,113,63184,63184
"115",1,114,22870,22870
"116",2,115,491575,0
"117",3,116,83970,83970
"118",2,117,220931,220931
"119",2,118,405693,0
"120",2,119,419919,419919
"121",1,120,120759,120759
"122",1,121,368128,0
"123",1,122,59176,59176
"124",2,123,555121,555121
"125",3,124,101941,101941
"126",1,125,391146,0
"127",1,126,205295,0
"128",1,127,15900,15900
"129",3,128,126090,126090
"130",2,129,8882,8882
"131",3,130,621995,621995
"132",3,131,276828,276828
"133",3,132,393388,393388
"134",2,133,397741,397741
"135",2,134,346406,346406
"136",3,135,355450,355450
"137",3,136,57459,57459
"138",3,137,223027,223027
"139",2,138,588419,0
"140",1,139,83387,83387
"141",2,140,312057,312057
"142",1,141,444032,0
"143",1,142,605,605
"144",3,143,123191,123191
"145",1,144,176158,176158
"146",1,145,429011,429011
"147",1,146,605970,605970
"148",1,147,124048,124048
"149",3,148,177861,177861
"150",3,149,152674,152674
"151",2,150,324813,324813
"152",2,151,311001,311001
"153",1,152,137984,137984
"154",1,153,356239,356239
"155",2,154,126755,126755
"156",2,155,311163,0
"157",1,156,448686,448686
"158",2,157,241969,241969
"159",1,158,291177,291177
"160",2,159,268459,268459
"161",2,160,424712,424712
"162",2,161,41574,41574
"163",2,162,579358,579358
"164",2,163,171016,171016
"165",2,164,178534,178534
"166",3,165,249965,249965
"167",1,166,149286,0
"168",2,167,134301,134301
"169",1,168,541441,541441
"170",2,169,61476,61476
"171",1,170,618871,0
"172",3,171,110725,0
"173",3,172,184599,184599
"174",3,173,468105,468105
"175",2,174,563307,563307
"176",2,175,470390,470390
"177",2,176,155903,155903
"178",3,177,365067,365067
"179",2,178,197687,197687
"180",3,179,184132,184132
"181",1,180,401042,0
"182",3,181,164093,164093
"183",1,182,216050,216050
"184",2,183,106178,106178
"185",2,184,223227,223227
"186",1,185,306305,306305
"187",2,186,610767,610767
"188",3,187,541763,541763
"189",3,188,399845,0
"190",1,189,40356,40356
"191",1,190,650565,650565
"192",3,191,279330,279330
"193",2,192,574308,574308
"194",3,193,374052,374052
"195",2,194,304720,304720
"196",2,195,604171,604171
"197",2,196,484377,0
"198",1,197,134745,0
"199",2,198,574971,574971
"200",1,199,527612,0
"201",3,200,301017,301017
"202",2,201,230642,230642
"203",2,202,43142,43142
"204",2,203,186663,186663
"205",3,204,608046,608046
"206",2,205,177811,177811
"207",1,206,651726,651726
"208",1,207,503562,503562
"209",1,208,253386,253386
"210",2,209,332308,332308
"211",1,210,87241,87241
"212",1,211,391102,391102
"213",3,212,94553,94553
"214",1,213,447220,447220
"215",3,214,208274,208274
"216",2,215,99049,0
"217",2,216,155004,155004
"218",3,217,533962,533962
"219",3,218,326204,326204
"220",1,219,351173,351173
"221",3,220,119459,119459
"222",3,221,177351,177351
"223",3,222,229787,229787
"224",1,223,245463,245463
"225",2,224,229905,229905
"226",2,225,90306,90306
"227",2,226,258863,258863
"228",3,227,127714,127714
"229",3,228,390862,0
"230",2,229,209180,209180
"231",2,230,548250,548250
"232",2,231,503849,503849
"233",1,232,297563,0
"234",1,233,444726,0
"235",2,234,242993,242993
"236",1,235,546408,546408
"237",3,236,355192,355192
"238",1,237,440802,440802
"239",3,238,269167,0
"240",2,239,310010,310010
"241",2,240,18515,0
"242",1,241,235143,235143
"243",2,242,520908,520908
"244",1,243,462984,462984
"245",3,244,568353,568353
"246",2,245,86056,86056
"247",3,246,496647,496647
"248",3,247,395327,0
"249",3,248,294004,294004
"250",1,249,612085,612085
"251",1,250,471234,471234
"252",2,251,516512,0
"253",1,252,251246,251246
"254",2,253,520409,520409
"255",3,254,287766,0
"256",1,255,259456,259456
"257",2,256,407266,0
"258",2,257,3608,3608
"259",3,258,6019,6019
"260",3,259,208439,208439
"261",3,260,216587,216587
"262",3,261,213260,213260
"263",3,262,249000,249000
"264",2,263,316531,316531
"265",2,264,293731,293731
"266",2,265,651366,651366
"267",2,266,518069,518069
"268",1,267,607376,607376
"269",2,268,169405,169405
"270",3,269,587501,587501
"271",1,270,107985,107985
"272",1,271,28628,28628
"273",1,272,348952,0
"274",3,273,184016,0
"275",3,274,315871,315871
"276",3,275,324010,324010
"277",2,276,231175,231175
"278",1,277,152099,152099
"279",2,278,632815,632815
"280",3,279,504651,504651
"281",1,280,341671,341671
"282",2,281,423294,423294
"283",1,282,235039,235039
"284",1,283,239189,239189
"285",2,284,452386,452386
"286",1,285,384294,384294
"287",1,286,424873,424873
"288",1,287,83538,83538
"289",3,288,173914,173914
"290",1,289,180385,180385
"291",1,290,266856,266856
"292",1,291,467241,467241
"293",3,292,424693,424693
"294",3,293,10621,10621
"295",3,294,304001,0
"296",3,295,425383,425383
"297",1,296,200304,200304
"298",1,297,624253,624253
"299",3,298,610278,610278
"300",3,299,142710,142710
"301",1,300,488972,488972
"302",3,301,166459,166459
"303",3,302,74969,74969
"304",2,303,395833,0
"305",2,304,47533,47533
"306",1,305,245834,245834
"307",1,306,277438,277438
"308",2,307,545570,545570
"309",2,308,123879,123879
"310",2,309,262697,262697
"311",2,310,274126,274126
"312",3,311,382411,382411
"313",1,312,305713,305713
"314",2,313,23514,23514
"315",3,314,79345,79345
"316",3,315,580112,580112
"317",1,316,592215,0
"318",2,317,365633,365633
"319",3,318,555920,555920
"320",3,319,551714,551714
"321",1,320,496782,496782
"322",1,321,508386,508386
"323",3,322,18323,18323
"324",1,323,108273,108273
"325",1,324,241865,241865
"326",3,325,6317,6317
"327",1,326,156656,156656
"328",2,327,104013,104013
"329",3,328,306168,306168
"330",2,329,45306,45306
"331",1,330,519702,519702
"332",3,331,63953,0
"333",3,332,264236,264236
"334",1,333,337235,337235
"335",2,334,170696,170696
"336",3,335,439423,439423
"337",2,336,143189,143189
"338",2,337,515169,515169
"339",3,338,202452,202452
"340",2,339,19876,19876
"341",1,340,46433,46433
"342",2,341,133026,133026
"343",1,342,298495,0
"344",2,343,225221,225221
"345",2,344,478425,478425
"346",3,345,36657,36657
"347",2,346,22538,22538
"348",1,347,51788,51788
"349",2,348,254800,254800
"350",1,349,312364,312364
"351",3,350,63462,63462
"352",2,351,371113,0
"353",1,352,133899,133899
"354",2,353,161698,161698
"355",3,354,441342,441342
"356",3,355,550612,550612
"357",2,356,295058,295058
"358",1,357,638990,638990
"359",3,358,126495,126495
"360",1,359,165119,165119
"361",1,360,644443,644443
"362",3,361,601535,601535
"363",1,362,98773,98773
"364",2,363,399243,399243
"365",3,364,158933,158933
"366",1,365,134276,134276
"367",1,366,460565,0
"368",2,367,628914,628914
"369",2,368,249047,249047
"370",2,369,271480,271480
"371",2,370,315822,315822
"372",3,371,387679,387679
"373",2,372,554806,554806
"374",2,373,200765,200765
"375",3,374,107777,107777
"376",3,375,547893,547893
"377",1,376,232300,232300
"378",1,377,263903,263903
"379",3,378,361978,361978
"380",2,379,215323,215323
"381",3,380,448110,448110
"382",2,381,594645,594645
"383",3,382,394461,394461
"384",2,383,42901,42901
"385",3,384,533842,533842
"386",1,385,144719,144719
"387",1,386,304917,304917
"388",1,387,322336,322336
"389",1,388,167037,167037
"390",3,389,524505,524505
"391",1,390,569162,569162
"392",3,391,344458,0
"393",3,392,383523,0
"394",1,393,647772,647772
"395",1,394,510152,510152
"396",1,395,459514,459514
"397",1,396,350118,350118
"398",1,397,179864,179864
"399",3,398,624614,0
"400",3,399,120216,120216
"401",1,400,632433,0
"402",3,401,97849,97849
"403",2,402,344876,344876
"404",2,403,291999,291999
"405",2,404,167859,167859
"406",3,405,80352,80352
"407",1,406,283335,283335
"408",2,407,554398,554398
"409",3,408,33025,33025
"410",1,409,455750,455750
"411",3,410,345080,345080
"412",1,411,15535,15535
"413",2,412,496333,0
"414",1,413,391179,391179
"415",1,414,372991,372991
"416",3,415,85459,85459
"417",1,416,470264,470264
"418",2,417,348636,348636
"419",1,418,464142,464142
"420",2,419,175824,175824
"421",2,420,581756,581756
"422",2,421,80970,80970
"423",1,422,80697,0
"424",3,423,25996,0
"425",2,424,494204,494204
"426",1,425,131690,131690
"427",2,426,330269,330269
"428",1,427,281379,281379
"429",3,428,168614,168614
"430",3,429,468958,468958
"431",2,430,301596,301596
"432",1,431,196802,0
"433",3,432,205324,205324
"434",1,433,299795,0
"435",2,434,518198,518198
"436",1,435,213755,213755
"437",2,436,609424,0
"438",1,437,18464,18464
"439",1,438,56093,56093
"440",1,439,257967,0
"441",2,440,171139,171139
"442",3,441,107215,107215
"443",1,442,26844,26844
"444",3,443,331555,331555
"445",3,444,81345,81345
"446",3,445,238600,0
"447",1,446,259167,0
"448",2,447,195609,195609
"449",3,448,467813,467813
"450",2,449,478176,478176
"451",2,450,571053,0
"452",1,451,477376,477376
"453",1,452,23999,23999
"454",1,453,142314,142314
"455",3,454,464861,464861
"456",3,455,378502,0
"457",3,456,355314,355314
"458",1,457,574219,574219
"459",1,458,326320,326320
"460",3,459,153155,153155
"461",2,460,376302,0
"462",2,461,148129,148129
"463",1,462,645515,645515
"464",2,463,9652256,0
"465",1,464,633014,633014
"466",1,465,648461,648461
"467",3,466,391727,391727
"468",1,467,612537,612537
"469",3,468,163604,163604
"470",1,469,487431,487431
"471",3,470,349886,349886
"472",2,471,535370,535370
"473",3,472,311484,311484
"474",2,473,254733,254733
"475",2,474,646397,646397
"476",2,475,454177,454177
"477",1,476,80122,80122
"478",1,477,514824,514824
"479",3,478,501119,0
"480",1,479,143451,143451
"481",3,480,309536,309536
"482",1,481,240053,240053
"483",3,482,256792,256792
"484",3,483,52884,52884
"485",1,484,576375,576375
"486",1,485,12498,12498
"487",3,486,479645,479645
"488",2,487,576326,576326
"489",3,488,309686,309686
"490",3,489,397574,397574
"491",1,490,360789,360789
"492",2,491,400494,0
"493",3,492,385942,385942
"494",1,493,472877,472877
"495",3,494,117200,117200
"496",1,495,459893,459893
"497",1,496,242933,242933
"498",3,497,528015,528015
"499",3,498,486646,486646
"500",2,499,309179,309179
"501",2,500,313442,313442
"502",1,501,413012,413012
"503",1,502,370162,0
"504",2,503,417759,0
"505",1,504,187882,187882
"506",2,505,107233,107233
"507",2,506,120636,0
"508",3,507,528104,528104
"509",2,508,5944,5944
"510",2,509,469662,469662
"511",1,510,73429,73429
"512",3,511,629322,629322
"513",2,512,13052,13052
"514",3,513,540292,0
"515",1,514,136878,136878
"516",2,515,267454,267454
"517",3,516,600620,0
"518",1,517,193957,193957
"519",3,518,77077,77077
"520",1,519,275446,0
"521",2,520,333862,333862
"522",1,521,165920,165920
"523",1,522,538128,538128
"524",2,523,322626,322626
"525",3,524,132978,132978
"526",3,525,122320,122320
"527",1,526,157211,0
"528",3,527,225363,225363
"529",1,528,477423,477423
"530",3,529,382132,382132
"531",3,530,612414,612414
"532",2,531,145038,145038
"533",3,532,510901,510901
"534",1,533,604338,604338
"535",3,534,257216,0
"536",2,535,494077,494077
"537",3,536,378408,378408
"538",2,537,511845,0
"539",1,538,492809,492809
"540",3,539,408243,408243
"541",1,540,415309,415309
"542",3,541,117451,117451
"543",1,542,391897,391897
"544",3,543,623281,623281
"545",3,544,339467,339467
"546",1,545,491481,491481
"547",3,546,290311,290311
"548",3,547,167799,167799
"549",2,548,365319,365319
"550",1,549,39049,39049
"551",1,550,289494,0
"552",2,551,637031,637031
"553",3,552,438866,438866
"554",2,553,79050,79050
"555",2,554,220941,220941
"556",2,555,191879,191879
"557",2,556,133077,133077
"558",2,557,471440,471440
"559",1,558,415959,415959
"560",1,559,26996,26996
"561",3,560,176823,176823
"562",3,561,127653,0
"563",1,562,367757,0
"564",2,563,103726,103726
"565",2,564,173774,173774
"566",2,565,454956,454956
"567",3,566,98341,98341
"568",2,567,590585,590585
"569",3,568,560573,560573
"570",2,569,53341,53341
"571",3,570,15532,15532
"572",2,571,648966,648966
"573",2,572,54191,54191
"574",3,573,254115,0
"575",3,574,576648,576648
"576",2,575,406991,406991
"577",1,576,95261,95261
"578",2,577,580903,580903
"579",2,578,275261,275261
"580",3,579,424601,424601
"581",3,580,353186,353186
"582",3,581,510492,510492
"583",2,582,426547,426547
"584",3,583,448662,448662
"585",1,584,108413,108413
"586",1,585,100769,100769
"587",3,586,276083,276083
"588",3,587,163861,163861
"589",2,588,130790,0
"590",2,589,621603,621603
"591",1,590,129669,129669
"592",3,591,137169,137169
"593",1,592,269751,269751
"594",1,593,323851,323851
"595",3,594,494842,494842
"596",2,595,388917,388917
"597",2,596,35943,35943
"598",3,597,611617,611617
"599",1,598,321658,321658
"600",1,599,482142,482142
"601",3,600,587134,587134
"602",1,601,239259,239259
"603",1,602,488697,488697
"604",1,603,66646,66646
